year,kind,subject,url,local
2025,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/A1JI2025.pdf,sources/1ji/2025/A.pdf
2025,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/B1JI2025.pdf,sources/1ji/2025/B.pdf
2025,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/C1JI2025.pdf,sources/1ji/2025/C.pdf
2025,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/D1JI2025.pdf,sources/1ji/2025/D.pdf
2025,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/E1JI2025.pdf,sources/1ji/2025/E.pdf
2025,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/F1JI2025.pdf,sources/1ji/2025/F.pdf
2025,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2025/G1JI2025.pdf,sources/1ji/2025/G.pdf
2024,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/A1JI2024.pdf,sources/1ji/2024/A.pdf
2024,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/B1JI2024.pdf,sources/1ji/2024/B.pdf
2024,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/C1JI2024.pdf,sources/1ji/2024/C.pdf
2024,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/D1JI2024.pdf,sources/1ji/2024/D.pdf
2024,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/E1JI2024.pdf,sources/1ji/2024/E.pdf
2024,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/F1JI2024.pdf,sources/1ji/2024/F.pdf
2024,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2024/G1JI2024.pdf,sources/1ji/2024/G.pdf
2023,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/A1JI2023.pdf,sources/1ji/2023/A.pdf
2023,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/B1JI2023.pdf,sources/1ji/2023/B.pdf
2023,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/C1JI2023.pdf,sources/1ji/2023/C.pdf
2023,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/D1JI2023.pdf,sources/1ji/2023/D.pdf
2023,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/E1JI2023.pdf,sources/1ji/2023/E.pdf
2023,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/F1JI2023.pdf,sources/1ji/2023/F.pdf
2023,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2023/G1JI2023.pdf,sources/1ji/2023/G.pdf
2022,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/A1ji2022.pdf,sources/1ji/2022/A.pdf
2022,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/B1ji2022.pdf,sources/1ji/2022/B.pdf
2022,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/C1ji2022.pdf,sources/1ji/2022/C.pdf
2022,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/D1ji2022.pdf,sources/1ji/2022/D.pdf
2022,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/E1ji2022.pdf,sources/1ji/2022/E.pdf
2022,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/F1ji2022.pdf,sources/1ji/2022/F.pdf
2022,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2022/G1ji2022.pdf,sources/1ji/2022/G.pdf
2021,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/A1ji2021.pdf,sources/1ji/2021/A.pdf
2021,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/B1ji2021.pdf,sources/1ji/2021/B.pdf
2021,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/C1ji2021.pdf,sources/1ji/2021/C.pdf
2021,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/D1ji2021.pdf,sources/1ji/2021/D.pdf
2021,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/E1ji2021.pdf,sources/1ji/2021/E.pdf
2021,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/F1ji2021.pdf,sources/1ji/2021/F.pdf
2021,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2021/G1ji2021.pdf,sources/1ji/2021/G.pdf
2020,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/A1ji2020.pdf,sources/1ji/2020/A.pdf
2020,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/B1ji2020.pdf,sources/1ji/2020/B.pdf
2020,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/C1ji2020.pdf,sources/1ji/2020/C.pdf
2020,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/D1ji2020.pdf,sources/1ji/2020/D.pdf
2020,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/E1ji2020.pdf,sources/1ji/2020/E.pdf
2020,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/F1ji2020.pdf,sources/1ji/2020/F.pdf
2020,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2020/G1ji2020.pdf,sources/1ji/2020/G.pdf
2019,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/A1ji2019.pdf,sources/1ji/2019/A.pdf
2019,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/B1ji2019.pdf,sources/1ji/2019/B.pdf
2019,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/C1ji2019.pdf,sources/1ji/2019/C.pdf
2019,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/D1ji2019.pdf,sources/1ji/2019/D.pdf
2019,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/E1ji2019.pdf,sources/1ji/2019/E.pdf
2019,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/F1ji2019.pdf,sources/1ji/2019/F.pdf
2019,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2019/G1ji2019.pdf,sources/1ji/2019/G.pdf
2018,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/A1ji2018.pdf,sources/1ji/2018/A.pdf
2018,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/B1ji2018.pdf,sources/1ji/2018/B.pdf
2018,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/C1ji2018.pdf,sources/1ji/2018/C.pdf
2018,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/D1ji2018.pdf,sources/1ji/2018/D.pdf
2018,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/E1ji2018.pdf,sources/1ji/2018/E.pdf
2018,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/F1ji2018.pdf,sources/1ji/2018/F.pdf
2018,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2018/G1ji2018.pdf,sources/1ji/2018/G.pdf
2017,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/a1ji2017.pdf,sources/1ji/2017/A.pdf
2017,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/b1ji2017.pdf,sources/1ji/2017/B.pdf
2017,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/c1ji2017.pdf,sources/1ji/2017/C.pdf
2017,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/d1ji2017.pdf,sources/1ji/2017/D.pdf
2017,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/e1ji2017.pdf,sources/1ji/2017/E.pdf
2017,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/f1ji2017.pdf,sources/1ji/2017/F.pdf
2017,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2017/g1ji2017.pdf,sources/1ji/2017/G.pdf
2016,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/a1ji2016.pdf,sources/1ji/2016/A.pdf
2016,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/b1ji2016.pdf,sources/1ji/2016/B.pdf
2016,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/c1ji2016.pdf,sources/1ji/2016/C.pdf
2016,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/d1ji2016.pdf,sources/1ji/2016/D.pdf
2016,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/e1ji2016.pdf,sources/1ji/2016/E.pdf
2016,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/f1ji2016.pdf,sources/1ji/2016/F.pdf
2016,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2016/g1ji2016.pdf,sources/1ji/2016/G.pdf
2015,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/a1ji2015.pdf,sources/1ji/2015/A.pdf
2015,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/b1ji2015.pdf,sources/1ji/2015/B.pdf
2015,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/c1ji2015.pdf,sources/1ji/2015/C.pdf
2015,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/d1ji2015.pdf,sources/1ji/2015/D.pdf
2015,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/e1ji2015.pdf,sources/1ji/2015/E.pdf
2015,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/f1ji2015.pdf,sources/1ji/2015/F.pdf
2015,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji2015/g1ji2015.pdf,sources/1ji/2015/G.pdf
2023S,1ji_mondai,A,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/A1JI2023-2.pdf,sources/1ji/2023S/A.pdf
2023S,1ji_mondai,B,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/B1JI2023-2.pdf,sources/1ji/2023S/B.pdf
2023S,1ji_mondai,C,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/C1JI2023-2.pdf,sources/1ji/2023S/C.pdf
2023S,1ji_mondai,D,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/D1JI2023-2.pdf,sources/1ji/2023S/D.pdf
2023S,1ji_mondai,E,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/E1JI2023-2.pdf,sources/1ji/2023S/E.pdf
2023S,1ji_mondai,F,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/F1JI2023-2.pdf,sources/1ji/2023S/F.pdf
2023S,1ji_mondai,G,https://www.jf-cmca.jp/attach/test/shikenmondai/1ji(sai)2023/G1JI2023-2.pdf,sources/1ji/2023S/G.pdf
2025,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025a.pdf,sources/seikai/2025/A.pdf
2025,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025b.pdf,sources/seikai/2025/B.pdf
2025,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025c.pdf,sources/seikai/2025/C.pdf
2025,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025d.pdf,sources/seikai/2025/D.pdf
2025,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025e.pdf,sources/seikai/2025/E.pdf
2025,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025f.pdf,sources/seikai/2025/F.pdf
2025,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r07/1ji_seikai/2025g.pdf,sources/seikai/2025/G.pdf
2024,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024a.pdf,sources/seikai/2024/A.pdf
2024,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024b.pdf,sources/seikai/2024/B.pdf
2024,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024c.pdf,sources/seikai/2024/C.pdf
2024,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024d.pdf,sources/seikai/2024/D.pdf
2024,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024e.pdf,sources/seikai/2024/E.pdf
2024,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024f.pdf,sources/seikai/2024/F.pdf
2024,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r06/1ji_seikai/2024g.pdf,sources/seikai/2024/G.pdf
2023,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023a.pdf,sources/seikai/2023/A.pdf
2023,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023b.pdf,sources/seikai/2023/B.pdf
2023,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023c.pdf,sources/seikai/2023/C.pdf
2023,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023dv2.pdf,sources/seikai/2023/D.pdf
2023,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023e.pdf,sources/seikai/2023/E.pdf
2023,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023f.pdf,sources/seikai/2023/F.pdf
2023,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r05/1ji_seikai/2023g.pdf,sources/seikai/2023/G.pdf
